%# Absorption coefficients
%# USA model, high latitude, winter, H=0
%# Wavenumber range: 7443-7446 cm-1, T: 296 K, P: 1 atm, step: 0.0001 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
%# KNa, Ka and thier units definition in Eqs(2)-(3) of  http://hitran.iao.ru/home.sim-theory.sp-functions.
%# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)
%
 7443.035700    1.0036232174E-07    4.0478930795E-27
 7443.035800    1.0033537060E-07    4.0468060648E-27
 7443.035900    1.0030849200E-07    4.0457219756E-27
 7443.036000    1.0028168579E-07    4.0446408063E-27
 7443.036100    1.0025495184E-07    4.0435625512E-27
 7443.036200    1.0022829000E-07    4.0424872046E-27
 7443.036300    1.0020170013E-07    4.0414147608E-27
 7443.036400    1.0017518209E-07    4.0403452141E-27
 7443.036500    1.0014873574E-07    4.0392785589E-27
 7443.036600    1.0012236094E-07    4.0382147895E-27
 7443.036700    1.0009605755E-07    4.0371539002E-27
 7443.036800    1.0006982542E-07    4.0360958853E-27
 7443.036900    1.0004366443E-07    4.0350407392E-27
 7443.037000    1.0001757442E-07    4.0339884561E-27
 7443.037100    9.9991555253E-08    4.0329390304E-27
 7443.037200    9.9965606793E-08    4.0318924565E-27
 7443.037300    9.9939728897E-08    4.0308487286E-27
 7443.037400    9.9913921426E-08    4.0298078411E-27
 7443.037500    9.9888184238E-08    4.0287697884E-27
 7443.037600    9.9862517193E-08    4.0277345647E-27
 7443.037700    9.9836920151E-08    4.0267021644E-27
 7443.037800    9.9811392972E-08    4.0256725819E-27
 7443.037900    9.9785935515E-08    4.0246458114E-27
 7443.038000    9.9760547641E-08    4.0236218475E-27
 7443.038100    9.9735229209E-08    4.0226006843E-27
 7443.038200    9.9709980080E-08    4.0215823164E-27
 7443.038300    9.9684800114E-08    4.0205667379E-27
 7443.038400    9.9659689171E-08    4.0195539434E-27
 7443.038500    9.9634647112E-08    4.0185439271E-27
 7443.038600    9.9609673798E-08    4.0175366835E-27
 7443.038700    9.9584769089E-08    4.0165322070E-27
 7443.038800    9.9559932845E-08    4.0155304918E-27
 7443.038900    9.9535164929E-08    4.0145315325E-27
 7443.039000    9.9510465200E-08    4.0135353234E-27
 7443.039100    9.9485833521E-08    4.0125418589E-27
 7443.039200    9.9461269753E-08    4.0115511334E-27
 7443.039300    9.9436773756E-08    4.0105631413E-27
 7443.039400    9.9412345393E-08    4.0095778772E-27
 7443.039500    9.9387984526E-08    4.0085953353E-27
 7443.039600    9.9363691016E-08    4.0076155101E-27
 7443.039700    9.9339464726E-08    4.0066383961E-27
 7443.039800    9.9315305518E-08    4.0056639876E-27
 7443.039900    9.9291213254E-08    4.0046922793E-27
 7443.040000    9.9267187797E-08    4.0037232654E-27
 7443.040100    9.9243229010E-08    4.0027569405E-27
 7443.040200    9.9219336755E-08    4.0017932991E-27
 7443.040300    9.9195510896E-08    4.0008323356E-27
 7443.040400    9.9171751297E-08    3.9998740445E-27
 7443.040500    9.9148057820E-08    3.9989184203E-27
 7443.040600    9.9124430329E-08    3.9979654575E-27
 7443.040700    9.9100868689E-08    3.9970151507E-27
 7443.040800    9.9077372763E-08    3.9960674943E-27
 7443.040900    9.9053942415E-08    3.9951224829E-27
 7443.041000    9.9030577511E-08    3.9941801109E-27
 7443.041100    9.9007277914E-08    3.9932403730E-27
 7443.041200    9.8984043490E-08    3.9923032637E-27
 7443.041300    9.8960874103E-08    3.9913687776E-27
 7443.041400    9.8937769620E-08    3.9904369092E-27
 7443.041500    9.8914729905E-08    3.9895076531E-27
 7443.041600    9.8891754825E-08    3.9885810038E-27
 7443.041700    9.8868844245E-08    3.9876569561E-27
 7443.041800    9.8845998031E-08    3.9867355044E-27
 7443.041900    9.8823216050E-08    3.9858166434E-27
 7443.042000    9.8800498169E-08    3.9849003677E-27
 7443.042100    9.8777844254E-08    3.9839866720E-27
 7443.042200    9.8755254173E-08    3.9830755508E-27
 7443.042300    9.8732727793E-08    3.9821669989E-27
 7443.042400    9.8710264981E-08    3.9812610109E-27
 7443.042500    9.8687865606E-08    3.9803575815E-27
 7443.042600    9.8665529535E-08    3.9794567053E-27
 7443.042700    9.8643256636E-08    3.9785583770E-27
 7443.042800    9.8621046779E-08    3.9776625914E-27
